state,declaration_type,declaration_date,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,country_name,designated_area,declaration_request_number,deaths,incident_duration
Alabama,Upravljanje hitnim situacijama,2017-09-11,Hurricane,Hurricane Irma,0,0,1,0,2017-09-08,2017-09-14,Russell County (Alabama),Russell (County),17104,4850,10
Colorado,Velika katastrofa,1955-05-25,Flood,Flood,0,1,1,1,1955-05-25,1955-05-25,Colorado,Statewide,55004,7336,2
Georgia,Upravljanje hitnim situacijama,1977-07-20,Drought,Drought,0,0,1,0,1977-07-20,1977-07-20,Elbert County (Georgia),Elbert (County),77101,2493,4
Wisconsin,Upravljanje hitnim situacijama,2005-09-13,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Dodge County (Wisconsin),Dodge (County),5118,9490,19
Massachusetts,Upravljanje hitnim situacijama,2003-03-11,Snowstorm,Snow,0,0,1,0,2003-02-17,2003-02-18,Berkshire County,Berkshire (County),3011,8166,11
South Dakota,Velika katastrofa,2005-12-20,Severe Storm,Severe Winter Storm,0,0,1,1,2005-11-27,2005-11-29,Roberts County (South Dakota),Roberts (County),5164,2382,1
Maine,Upravljanje hitnim situacijama,1993-03-15,Snowstorm,"Blizzards, Severe Winds & Snowfall, Coastal Storm",0,0,1,0,1993-03-13,1993-03-17,Aroostook County,Aroostook (County),93012,995,14
Michigan,Upravljanje hitnim situacijama,1977-03-02,Drought,Drought,0,0,1,0,1977-03-02,1977-03-02,Houghton County,Houghton (County),77021,4847,23
Oklahoma,Velika katastrofa,2007-08-24,Severe Storm,"Severe Storms, Tornadoes, And Flooding",1,1,1,1,2007-08-18,2007-09-12,Caddo County,Caddo (County),7892,5890,16
Kentucky,Velika katastrofa,1967-03-27,Flood,Severe Storms & Flooding,0,1,1,0,1967-03-27,1967-03-27,Letcher County,Letcher (County),67020,7009,12
Oklahoma,Upravljanje hitnim situacijama,2007-01-14,Severe Ice Storm,Severe Winter Storms And Flooding,0,0,1,0,2007-01-12,2007-01-26,Kiowa County (Oklahoma),Kiowa (County),7786,1148,4
Alabama,Velika katastrofa,2009-04-28,Severe Storm,"Severe Storms, Flooding, Tornadoes & Straight-Line",0,0,1,1,2009-03-25,2009-04-03,Clarke County (Alabama),Clarke (County),9042,5862,12
Kentucky,Velika katastrofa,1998-03-03,Severe Storm,Severe Winter Storm,0,0,1,0,1998-02-04,1998-02-06,Powell County (Kentucky),Powell (County),98020,612,7
New Jersey,Upravljanje hitnim situacijama,1993-03-17,Snowstorm,Severe Blizzard,0,0,1,0,1993-03-13,1993-03-17,Burlington County,Burlington (County),93019,1460,5
Oklahoma,Velika katastrofa,2001-01-05,Severe Ice Storm,Severe Winter Ice Storm,0,1,1,0,2000-12-25,2001-01-10,Muskogee County,Muskogee (County),1001,7163,18
Missouri,Velika katastrofa,2009-02-17,Severe Storm,Severe Winter Storm,0,0,1,1,2009-01-26,2009-01-28,Madison County (Missouri),Madison (County),9016,9523,2
Georgia,Velika katastrofa,2015-04-20,Severe Ice Storm,Severe Winter Storm,0,0,1,1,2015-02-15,2015-02-17,Hart County (Georgia),Hart (County),15012,834,16
